version,version_date,name,full_name,country_flag,description,image,height,weight,positions,dob,overall_rating,potential,value,wage,profile_preferred_foot,profile_weak_foot,profile_skill_moves,profile_international_reputation,profile_work_rate,profile_body_type,profile_real_face,profile_release_clause,profile_id,specialities,club_id,club_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_logo,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,traits
230025,2023-04-06,Kylian Mbappé,Kylian Mbappé Lottin,https://cdn.sofifa.net/flags/fr.png,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for French club Paris Saint Germain, and the France national team. In the game FIFA 23 his overall rating is 91.",https://cdn.sofifa.net/players/231/747/23_120.png,182,165,"ST,LW",1998-12-20,91,95,€190.5M,€230K,right,4,5,4,high/low,unique,yes,€366.7m,231747,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",73,Paris Saint Germain,https://cdn.sofifa.net/teams/73/60.png,84,LS,7,2018-07-01,2024,1335,France,https://cdn.sofifa.net/teams/1335/60.png,83,lw,10,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,84,88,26,34,32,13,5,7,11,6,"Solid player,Flair,Speed dribbler (AI),Outside foot shot,Technical dribbler (AI)"
230025,2023-04-06,Kevin De Bruyne,Kevin De Bruyne,https://cdn.sofifa.net/flags/be.png,"Kevin De Bruyne (born 28 June 1991) is a Belgian footballer who plays as a centre midfield for British club Manchester City, and the Belgium national team. In the game FIFA 23 his overall rating is 91.",https://cdn.sofifa.net/players/192/985/23_120.png,181,165,"CM,CAM",1991-06-28,91,91,€107.5M,€350K,right,5,4,4,high/medium,unique,yes,€198.9m,192985,"Dribbler,Playmaker,Distance shooter,Crosser,Complete midfielder",10,Manchester City,https://cdn.sofifa.net/teams/10/60.png,85,RCM,17,2015-08-30,2025,1325,Belgium,https://cdn.sofifa.net/teams/1325/60.png,80,rf,7,94,85,55,93,83,86,89,83,93,90,75,73,76,91,78,92,63,89,74,91,75,65,88,94,83,88,66,66,53,15,13,5,10,13,"Injury prone,Leadership,Early crosser,Long passer (AI),Long shot taker (AI),Playmaker (AI),Outside foot shot"
230025,2023-04-06,Robert Lewandowski,Robert Lewandowski,https://cdn.sofifa.net/flags/pl.png,"Robert Lewandowski (born 21 August 1988) is a Polish footballer who plays as a striker for Spanish club FC Barcelona, and the Poland national team. In the game FIFA 23 his overall rating is 91.",https://cdn.sofifa.net/players/188/545/23_120.png,185,179,ST,1988-08-21,91,91,€84M,€420K,right,4,4,5,high/medium,unique,yes,€172.2m,188545,"Aerial threat,Distance shooter,Clinical finisher,Complete forward",241,FC Barcelona,https://cdn.sofifa.net/teams/241/60.png,83,ST,9,2022-07-18,2025,1353,Poland,https://cdn.sofifa.net/teams/1353/60.png,77,st,9,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,"Solid player,Finesse shot,Outside foot shot,Chip shot (AI)"
230025,2023-04-06,Karim Benzema,Karim Benzema,https://cdn.sofifa.net/flags/fr.png,Karim Benzema (born 19 December 1987) is a French footballer who plays as a centre forward for Spanish club Real Madrid. In the game FIFA 23 his overall rating is 91.,https://cdn.sofifa.net/players/165/153/23_120.png,185,179,"CF,ST",1987-12-19,91,91,€64M,€450K,right,4,4,4,medium/medium,normal (170-185),yes,€131.2m,165153,"Poacher,Clinical finisher",243,Real Madrid,https://cdn.sofifa.net/teams/243/60.png,85,CF,9,2009-07-09,2023,,,,,,,75,91,90,89,88,87,82,73,76,91,78,79,77,92,72,87,79,82,82,81,63,39,92,90,82,90,43,24,18,13,11,5,5,7,"Leadership,Finesse shot,Playmaker (AI),Outside foot shot,Team player"
230025,2023-04-06,Lionel Messi,Lionel Andrés Messi Cuccittini,https://cdn.sofifa.net/flags/ar.png,"Lionel Messi (Lionel Andrés Messi Cuccittini, born 24 June 1987) is an Argentine footballer who plays as a right winger for French club Paris Saint Germain, and the Argentina national team. In the game FIFA 23 his overall rating is 91.",https://cdn.sofifa.net/players/158/023/23_120.png,169,148,RW,1987-06-24,91,91,€54M,€195K,left,4,4,5,low/low,unique,yes,€99.9m,158023,"Dribbler,Distance shooter,FK Specialist,Acrobat,Clinical finisher,Complete forward",73,Paris Saint Germain,https://cdn.sofifa.net/teams/73/60.png,84,RS,30,2021-08-10,2023,1369,Argentina,https://cdn.sofifa.net/teams/1369/60.png,83,rw,10,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,"Finesse shot,Long shot taker (AI),Playmaker (AI),Outside foot shot,Chip shot (AI),Technical dribbler (AI)"
230025,2023-04-06,Thibaut Courtois,Thibaut Nicolas Marc Courtois,https://cdn.sofifa.net/flags/be.png,"Thibaut Courtois (Thibaut Nicolas Marc Courtois, born 11 May 1992) is a Belgian footballer who plays as a goalkeeper for Spanish club Real Madrid, and the Belgium national team. In the game FIFA 23 his overall rating is 90.",https://cdn.sofifa.net/players/192/119/23_120.png,199,212,GK,1992-05-11,90,91,€90M,€250K,left,3,1,4,medium/medium,unique,yes,€191.3m,192119,,243,Real Madrid,https://cdn.sofifa.net/teams/243/60.png,85,GK,1,2018-08-09,2026,1325,Belgium,https://cdn.sofifa.net/teams/1325/60.png,80,gk,1,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,"GK Long throw,Comes for crosses"
230025,2023-04-06,Erling Haaland,Erling Braut Haaland,https://cdn.sofifa.net/flags/no.png,"Erling Haaland (Erling Braut Haaland, born 21 July 2000) is a Norwegian footballer who plays as a striker for British club Manchester City, and the Norway national team. In the game FIFA 23 his overall rating is 89.",https://cdn.sofifa.net/players/239/085/23_120.png,195,207,ST,2000-07-21,89,94,€160M,€230K,left,3,3,4,high/medium,unique,yes,€308m,239085,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",10,Manchester City,https://cdn.sofifa.net/teams/10/60.png,85,ST,9,2022-07-01,2027,1352,Norway,https://cdn.sofifa.net/teams/1352/60.png,76,st,9,47,94,80,74,88,78,77,62,53,82,82,94,76,89,74,94,74,81,93,87,87,42,92,74,84,86,41,53,29,7,14,13,11,7,"Speed dribbler (AI),Power header"
230025,2023-04-06,Alisson,Alisson Ramsés Becker,https://cdn.sofifa.net/flags/br.png,"Alisson (Alisson Ramsés Becker, born 2 October 1992) is a Brazilian footballer who plays as a goalkeeper for British club Liverpool. In the game FIFA 23 his overall rating is 89.",https://cdn.sofifa.net/players/212/831/23_120.png,193,201,GK,1992-10-02,89,90,€79M,€190K,right,3,1,3,medium/medium,unique,yes,€152.1m,212831,,9,Liverpool,https://cdn.sofifa.net/teams/9/60.png,84,GK,1,2018-07-19,2027,,,,,,,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,66,15,19,16,86,85,85,90,89,"GK Long throw,Rushes out of goal,Comes for crosses"
230025,2023-04-06,Joshua Kimmich,Joshua Walter Kimmich,https://cdn.sofifa.net/flags/de.png,"Joshua Kimmich (Joshua Walter Kimmich, born 8 February 1995) is a German footballer who plays as a central defensive midfielder for German club FC Bayern München, and the Germany national team. In the game FIFA 23 his overall rating is 89.",https://cdn.sofifa.net/players/212/622/23_120.png,177,165,"CDM,RB,CM",1995-02-08,89,90,€105.5M,€130K,right,4,3,4,high/medium,normal (170-185),yes,€182m,212622,Crosser,21,FC Bayern München,https://cdn.sofifa.net/teams/21/60.png,85,CDM,6,2015-07-01,2025,1337,Germany,https://cdn.sofifa.net/teams/1337/60.png,82,rdm,6,91,68,72,87,69,82,85,73,90,85,77,60,84,88,84,78,79,94,68,83,89,85,80,85,44,85,84,85,78,8,15,7,15,15,"Leadership,Long passer (AI),Playmaker (AI)"
230025,2023-04-06,Mohamed Salah,Mohamed Salah Ghaly,https://cdn.sofifa.net/flags/eg.png,"Mohamed Salah (Mohamed Salah Ghaly, born 15 June 1992) is an Egyptian footballer who plays as a right winger for British club Liverpool. In the game FIFA 23 his overall rating is 89.",https://cdn.sofifa.net/players/209/331/23_120.png,175,157,RW,1992-06-15,89,89,€99.5M,€260K,left,3,4,4,high/medium,unique,yes,€184.1m,209331,"Dribbler,Acrobat,Clinical finisher,Complete forward",9,Liverpool,https://cdn.sofifa.net/teams/9/60.png,84,RW,11,2017-07-01,2025,,,,,,,80,92,59,84,83,88,84,69,77,86,89,89,89,92,91,82,69,87,76,84,63,55,91,84,83,90,38,43,41,14,14,9,11,14,"Finesse shot,Long shot taker (AI),Speed dribbler (AI),Outside foot shot,Chip shot (AI)"
