id|crossing|finishing|heading_accuracy|short_passing|volleys|dribbling|curve|fk_accuracy|long_passing|ball_control|acceleration|sprint_speed|agility|reactions|balance|shot_power|jumping|stamina|strength|long_shots|aggression|interceptions|positioning|vision|penalties|composure|defensive_awareness|standing_tackle|sliding_tackle|gk_diving|gk_handling|gk_kicking|gk_positioning|gk_reflexes|traits
231747|78|93|72|85|83|93|80|69|71|91|97|97|93|93|81|88|77|87|76|82|64|38|92|83|84|88|26|34|32|13|5|7|11|6|Solid Player,Flair,Speed Dribbler (AI),Outside Foot Shot,Technical Dribbler (AI)
192985|94|85|55|93|83|86|89|83|93|90|75|73|76|91|78|92|63|89|74|91|75|65|88|94|83|88|66|66|53|15|13|5|10|13|Injury Prone,Leadership,Early Crosser,Long Passer (AI),Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot
188545|71|94|91|84|89|85|79|85|70|89|76|75|77|93|82|91|85|76|87|84|81|49|94|81|90|88|35|42|19|15|6|12|8|10|Solid Player,Finesse Shot,Outside Foot Shot,Chip Shot (AI)
165153|75|92|90|89|88|87|82|73|76|91|79|80|78|92|72|87|79|82|82|80|63|39|92|89|84|90|43|24|18|13|11|5|5|7|Leadership,Finesse Shot,Playmaker (AI),Outside Foot Shot,Team Player
158023|84|90|70|91|88|95|93|93|90|93|87|76|91|92|95|86|68|70|68|91|44|40|93|94|75|96|20|35|24|6|11|15|14|8|Finesse Shot,Long Shot Taker (AI),Playmaker (AI),Outside Foot Shot,Chip Shot (AI),Technical Dribbler (AI)
192119|14|14|13|33|12|13|19|20|35|23|42|52|63|84|45|56|68|38|70|17|23|15|13|44|27|66|20|18|16|84|89|75|89|90|GK Long Throw,Comes For Crosses
239085|47|94|80|74|88|78|77|62|53|82|82|94|76|89|74|94|74|81|93|87|87|42|92|74|79|86|41|53|29|7|14|13|11|7|Speed Dribbler (AI),Power Header
212831|17|13|29|60|20|27|19|18|58|40|58|49|40|87|37|64|52|32|78|14|27|11|13|66|23|66|15|19|16|86|85|85|90|89|GK Long Throw,Rushes Out Of Goal,Comes For Crosses
212622|91|68|72|87|69|82|85|73|90|85|77|60|84|88|84|78|79|94|68|83|89|85|80|85|44|85|84|85|78|8|15|7|15|15|Leadership,Long Passer (AI),Playmaker (AI)
209331|80|92|59|84|83|88|84|69|77|86|89|89|89|92|91|82|69|87|76|84|63|55|91|84|86|90|38|43|41|14|14|9|11|14|Finesse Shot,Long Shot Taker (AI),Speed Dribbler (AI),Outside Foot Shot,Chip Shot (AI)
